Date,S&P Index,CPI,Monthly Bond Returns,Monthly Bond Returns Index
1871.01,4.44,12.46,1.00,1.00
1871.02,4.50,12.84,1.00,1.01
1871.03,4.61,13.03,1.00,1.01
1871.04,4.74,12.56,1.00,1.02
1871.05,4.86,12.27,1.00,1.02
1871.06,4.82,12.08,1.00,1.03
1871.07,4.73,12.08,1.00,1.03
1871.08,4.79,11.89,1.00,1.03
1871.09,4.84,12.18,1.00,1.04
1871.1,4.59,12.37,1.00,1.04
1871.11,4.64,12.37,1.00,1.05
1871.12,4.74,12.65,1.00,1.05
1872.01,4.86,12.65,1.00,1.05
1872.02,4.88,12.65,1.00,1.06
1872.03,5.04,12.84,1.00,1.06
1872.04,5.18,13.13,1.00,1.06
1872.05,5.18,13.13,1.00,1.07
1872.06,5.13,13.03,1.00,1.07
1872.07,5.10,12.84,1.00,1.07
1872.08,5.04,12.94,1.00,1.08
1872.09,4.95,13.03,1.00,1.08
1872.1,4.97,12.75,1.00,1.08
1872.11,4.95,13.13,1.00,1.09
1872.12,5.07,12.94,1.00,1.09
1873.01,5.11,12.94,1.01,1.10
1873.02,5.15,13.23,1.01,1.10
1873.03,5.11,13.23,1.01,1.11
1873.04,5.04,13.23,1.01,1.12
1873.05,5.05,12.94,1.01,1.12
1873.06,4.98,12.56,1.01,1.13
1873.07,4.97,12.56,1.01,1.13
1873.08,4.97,12.56,1.01,1.14
1873.09,4.59,12.56,1.01,1.15
1873.1,4.19,12.27,1.01,1.15
1873.11,4.04,11.89,1.01,1.16
1873.12,4.42,12.18,1.01,1.16
1874.01,4.66,12.37,1.01,1.17
1874.02,4.80,12.37,1.01,1.18
1874.03,4.73,12.37,1.01,1.19
1874.04,4.60,12.18,1.01,1.20
1874.05,4.48,12.08,1.01,1.21
1874.06,4.46,11.80,1.01,1.21
1874.07,4.46,11.89,1.01,1.22
1874.08,4.47,11.80,1.01,1.23
1874.09,4.54,11.80,1.01,1.24
1874.1,4.53,11.61,1.01,1.25
1874.11,4.57,11.51,1.01,1.26
1874.12,4.54,11.51,1.01,1.26
1875.01,4.54,11.51,1.01,1.27
1875.02,4.53,11.51,1.01,1.28
1875.03,4.59,11.51,1.01,1.29
1875.04,4.65,11.61,1.01,1.30
1875.05,4.47,11.32,1.01,1.31
1875.06,4.38,11.13,1.01,1.32
1875.07,4.39,11.13,1.01,1.33
1875.08,4.41,11.23,1.01,1.34
1875.09,4.37,11.13,1.01,1.35
1875.1,4.30,11.13,1.01,1.36
1875.11,4.37,11.04,1.01,1.37
1875.12,4.37,10.94,1.01,1.38
1876.01,4.46,10.85,1.00,1.38
1876.02,4.52,10.85,1.00,1.39
1876.03,4.51,10.85,1.00,1.40
1876.04,4.34,10.75,1.00,1.40
1876.05,4.18,10.37,1.00,1.41
1876.06,4.15,10.09,1.00,1.42
1876.07,4.10,10.09,1.00,1.42
1876.08,3.93,10.18,1.00,1.43
1876.09,3.69,10.28,1.00,1.44
1876.1,3.67,10.47,1.00,1.44
1876.11,3.60,10.56,1.00,1.45
1876.12,3.58,10.75,1.00,1.46
1877.01,3.55,10.94,1.00,1.46
1877.02,3.34,10.66,1.00,1.47
1877.03,3.17,10.18,1.00,1.48
1877.04,2.94,10.47,1.00,1.48
1877.05,2.94,10.66,1.00,1.49
1877.06,2.73,10.09,1.00,1.50
1877.07,2.85,10.18,1.00,1.50
1877.08,3.05,9.80,1.00,1.51
1877.09,3.24,9.70,1.00,1.52
1877.1,3.31,9.70,1.00,1.52
1877.11,3.26,9.51,1.00,1.53
1877.12,3.25,9.51,1.00,1.54
1878.01,3.25,9.23,1.00,1.54
1878.02,3.18,9.13,1.00,1.55
1878.03,3.24,8.94,1.00,1.56
1878.04,3.33,8.85,1.00,1.56
1878.05,3.34,8.56,1.00,1.57
1878.06,3.41,8.37,1.00,1.58
1878.07,3.48,8.47,1.00,1.59
1878.08,3.45,8.56,1.00,1.59
1878.09,3.52,8.56,1.00,1.60
1878.1,3.48,8.47,1.00,1.61
1878.11,3.47,8.37,1.00,1.61
1878.12,3.45,8.18,1.00,1.62
1879.01,3.58,8.28,1.00,1.63
1879.02,3.71,8.37,1.00,1.64
1879.03,3.65,8.28,1.00,1.64
1879.04,3.77,8.18,1.00,1.65
1879.05,3.94,8.18,1.00,1.66
1879.06,3.96,8.09,1.00,1.67
1879.07,4.04,8.18,1.00,1.68
1879.08,4.07,8.18,1.00,1.68
1879.09,4.22,8.47,1.00,1.69
1879.1,4.68,8.94,1.00,1.70
1879.11,4.93,9.42,1.00,1.71
1879.12,4.92,9.70,1.00,1.72
1880.01,5.11,9.99,1.01,1.73
1880.02,5.20,9.99,1.01,1.73
1880.03,5.30,10.09,1.01,1.74
1880.04,5.18,9.70,1.01,1.75
1880.05,4.77,9.42,1.01,1.76
1880.06,4.79,9.23,1.01,1.77
1880.07,5.01,9.23,1.01,1.78
1880.08,5.19,9.23,1.01,1.79
1880.09,5.18,9.32,1.01,1.80
1880.1,5.33,9.32,1.01,1.81
1880.11,5.61,9.42,1.01,1.82
1880.12,5.84,9.51,1.01,1.83
1881.01,6.19,9.42,1.00,1.84
1881.02,6.17,9.51,1.00,1.84
1881.03,6.24,9.51,1.00,1.85
1881.04,6.22,9.61,1.00,1.86
1881.05,6.50,9.51,1.00,1.86
1881.06,6.58,9.51,1.00,1.87
1881.07,6.35,9.61,1.00,1.88
1881.08,6.20,9.80,1.00,1.88
1881.09,6.25,10.18,1.00,1.89
1881.1,6.15,10.28,1.00,1.90
1881.11,6.19,10.18,1.00,1.90
1881.12,6.01,10.18,1.00,1.91
1882.01,5.92,10.18,1.00,1.92
1882.02,5.79,10.28,1.00,1.92
1882.03,5.78,10.28,1.00,1.93
1882.04,5.78,10.37,1.00,1.93
1882.05,5.71,10.47,1.00,1.94
1882.06,5.68,10.56,1.00,1.95
1882.07,6.00,10.47,1.00,1.95
1882.08,6.18,10.56,1.00,1.96
1882.09,6.24,10.28,1.00,1.96
1882.1,6.07,10.18,1.00,1.97
1882.11,5.81,10.09,1.00,1.97
1882.12,5.84,9.99,1.00,1.98
1883.01,5.81,9.99,1.00,1.99
1883.02,5.68,10.09,1.00,1.99
1883.03,5.75,9.99,1.00,2.00
1883.04,5.87,9.90,1.00,2.00
1883.05,5.77,9.80,1.00,2.01
1883.06,5.82,9.51,1.00,2.02
1883.07,5.73,9.32,1.00,2.02
1883.08,5.47,9.32,1.00,2.03
1883.09,5.53,9.23,1.00,2.04
1883.1,5.38,9.23,1.00,2.04
1883.11,5.46,9.13,1.00,2.05
1883.12,5.34,9.23,1.00,2.05
1884.01,5.18,9.23,1.00,2.06
1884.02,5.32,9.23,1.00,2.07
1884.03,5.30,9.23,1.00,2.08
1884.04,5.06,9.04,1.00,2.09
1884.05,4.65,8.85,1.00,2.09
1884.06,4.46,8.85,1.00,2.10
1884.07,4.46,8.75,1.00,2.11
1884.08,4.74,8.75,1.00,2.12
1884.09,4.59,8.66,1.00,2.12
1884.1,4.44,8.56,1.00,2.13
1884.11,4.35,8.37,1.00,2.14
1884.12,4.34,8.28,1.00,2.15
1885.01,4.24,8.28,1.00,2.16
1885.02,4.37,8.37,1.00,2.16
1885.03,4.38,8.18,1.00,2.17
1885.04,4.37,8.28,1.00,2.18
1885.05,4.32,8.09,1.00,2.19
1885.06,4.30,7.90,1.00,2.20
1885.07,4.46,7.99,1.00,2.21
1885.08,4.71,7.99,1.00,2.22
1885.09,4.65,7.90,1.00,2.22
1885.1,4.92,7.90,1.00,2.23
1885.11,5.24,7.99,1.00,2.24
1885.12,5.20,8.18,1.00,2.25
1886.01,5.20,7.99,1.00,2.25
1886.02,5.30,7.99,1.00,2.26
1886.03,5.19,7.90,1.00,2.26
1886.04,5.12,7.80,1.00,2.27
1886.05,5.02,7.61,1.00,2.27
1886.06,5.25,7.52,1.00,2.27
1886.07,5.33,7.61,1.00,2.28
1886.08,5.37,7.71,1.00,2.28
1886.09,5.51,7.71,1.00,2.29
1886.1,5.65,7.71,1.00,2.29
1886.11,5.79,7.71,1.00,2.30
1886.12,5.64,7.80,1.00,2.30
1887.01,5.58,7.99,1.00,2.30
1887.02,5.54,8.09,1.00,2.31
1887.03,5.67,8.09,1.00,2.31
1887.04,5.80,8.09,1.00,2.32
1887.05,5.90,8.09,1.00,2.32
1887.06,5.73,7.99,1.00,2.33
1887.07,5.59,7.90,1.00,2.33
1887.08,5.45,7.99,1.00,2.34
1887.09,5.38,7.90,1.00,2.34
1887.1,5.20,7.99,1.00,2.35
1887.11,5.30,8.09,1.00,2.35
1887.12,5.27,8.28,1.00,2.35
1888.01,5.31,8.37,1.00,2.37
1888.02,5.28,8.28,1.00,2.38
1888.03,5.08,8.28,1.00,2.39
1888.04,5.10,8.18,1.00,2.40
1888.05,5.17,8.09,1.00,2.41
1888.06,5.01,7.99,1.00,2.42
1888.07,5.14,8.09,1.00,2.43
1888.08,5.25,8.09,1.00,2.44
1888.09,5.38,8.09,1.00,2.45
1888.1,5.35,8.18,1.00,2.46
1888.11,5.24,8.28,1.00,2.47
1888.12,5.14,8.28,1.00,2.49
1889.01,5.24,7.99,1.00,2.49
1889.02,5.30,7.90,1.00,2.50
1889.03,5.19,7.80,1.00,2.51
1889.04,5.18,7.80,1.00,2.52
1889.05,5.32,7.61,1.00,2.52
1889.06,5.41,7.61,1.00,2.53
1889.07,5.30,7.61,1.00,2.54
1889.08,5.37,7.61,1.00,2.55
1889.09,5.50,7.71,1.00,2.55
1889.1,5.40,7.71,1.00,2.56
1889.11,5.35,7.71,1.00,2.57
1889.12,5.32,7.80,1.00,2.58
1890.01,5.38,7.61,1.00,2.58
1890.02,5.32,7.61,1.00,2.59
1890.03,5.28,7.61,1.00,2.59
1890.04,5.39,7.61,1.00,2.59
1890.05,5.62,7.71,1.00,2.60
1890.06,5.58,7.71,1.00,2.60
1890.07,5.54,7.71,1.00,2.61
1890.08,5.41,7.99,1.00,2.61
1890.09,5.32,8.09,1.00,2.61
1890.1,5.08,8.09,1.00,2.62
1890.11,4.71,7.90,1.00,2.62
1890.12,4.60,7.90,1.00,2.63
1891.01,4.84,7.80,1.00,2.63
1891.02,4.90,7.90,1.00,2.64
1891.03,4.81,7.99,1.00,2.65
1891.04,4.97,8.09,1.00,2.66
1891.05,4.95,7.99,1.00,2.67
1891.06,4.85,7.80,1.00,2.68
1891.07,4.77,7.71,1.00,2.68
1891.08,4.93,7.71,1.00,2.69
1891.09,5.33,7.61,1.00,2.70
1891.1,5.33,7.61,1.00,2.71
1891.11,5.25,7.52,1.00,2.72
1891.12,5.41,7.52,1.00,2.73
1892.01,5.51,7.33,1.00,2.73
1892.02,5.52,7.33,1.00,2.74
1892.03,5.58,7.14,1.00,2.74
1892.04,5.57,7.04,1.00,2.75
1892.05,5.57,7.04,1.00,2.75
1892.06,5.54,7.04,1.00,2.76
1892.07,5.54,7.23,1.00,2.77
1892.08,5.62,7.33,1.00,2.77
1892.09,5.48,7.33,1.00,2.78
1892.1,5.59,7.33,1.00,2.78
1892.11,5.57,7.52,1.00,2.79
1892.12,5.51,7.61,1.00,2.79
1893.01,5.61,7.90,1.00,2.80
1893.02,5.51,7.99,1.00,2.81
1893.03,5.31,7.80,1.00,2.82
1893.04,5.31,7.71,1.00,2.83
1893.05,4.84,7.61,1.00,2.84
1893.06,4.61,7.42,1.00,2.85
1893.07,4.18,7.23,1.00,2.86
1893.08,4.08,6.95,1.00,2.87
1893.09,4.37,7.23,1.00,2.88
1893.1,4.50,7.33,1.00,2.89
1893.11,4.57,7.14,1.00,2.90
1893.12,4.41,7.04,1.00,2.91
1894.01,4.32,6.85,1.00,2.93
1894.02,4.38,6.76,1.00,2.94
1894.03,4.51,6.57,1.00,2.95
1894.04,4.57,6.57,1.00,2.97
1894.05,4.40,6.57,1.00,2.98
1894.06,4.34,6.57,1.00,3.00
1894.07,4.25,6.57,1.00,3.01
1894.08,4.41,6.76,1.00,3.02
1894.09,4.48,6.85,1.00,3.04
1894.1,4.34,6.66,1.00,3.05
1894.11,4.34,6.66,1.00,3.07
1894.12,4.30,6.57,1.00,3.08
1895.01,4.25,6.57,1.00,3.08
1895.02,4.19,6.57,1.00,3.09
1895.03,4.19,6.57,1.00,3.10
1895.04,4.37,6.85,1.00,3.10
1895.05,4.61,6.95,1.00,3.11
1895.06,4.70,7.04,1.00,3.11
1895.07,4.72,6.95,1.00,3.12
1895.08,4.79,6.85,1.00,3.13
1895.09,4.82,6.85,1.00,3.13
1895.1,4.75,6.85,1.00,3.14
1895.11,4.59,6.85,1.00,3.15
1895.12,4.32,6.76,1.00,3.15
1896.01,4.27,6.66,1.00,3.17
1896.02,4.45,6.57,1.00,3.18
1896.03,4.38,6.57,1.00,3.19
1896.04,4.42,6.47,1.00,3.21
1896.05,4.40,6.37,1.00,3.22
1896.06,4.32,6.28,1.00,3.24
1896.07,4.04,6.28,1.00,3.25
1896.08,3.81,6.28,1.00,3.26
1896.09,4.01,6.28,1.00,3.28
1896.1,4.10,6.47,1.00,3.29
1896.11,4.38,6.66,1.00,3.31
1896.12,4.22,6.66,1.00,3.32
1897.01,4.22,6.47,1.00,3.33
1897.02,4.18,6.47,1.00,3.34
1897.03,4.19,6.47,1.00,3.35
1897.04,4.06,6.37,1.00,3.36
1897.05,4.08,6.28,1.00,3.37
1897.06,4.27,6.28,1.00,3.38
1897.07,4.46,6.28,1.00,3.39
1897.08,4.75,6.57,1.00,3.40
1897.09,4.98,6.76,1.00,3.42
1897.1,4.82,6.66,1.00,3.43
1897.11,4.65,6.66,1.00,3.44
1897.12,4.75,6.66,1.00,3.45
1898.01,4.88,6.66,1.00,3.46
1898.02,4.87,6.76,1.00,3.48
1898.03,4.65,6.76,1.00,3.50
1898.04,4.57,6.76,1.00,3.51
1898.05,4.87,7.23,1.00,3.53
1898.06,5.06,6.76,1.00,3.54
1898.07,5.08,6.66,1.00,3.56
1898.08,5.27,6.66,1.00,3.57
1898.09,5.26,6.66,1.00,3.59
1898.1,5.15,6.66,1.00,3.61
1898.11,5.32,6.66,1.00,3.62
1898.12,5.65,6.76,1.00,3.64
1899.01,6.08,6.76,1.00,3.65
1899.02,6.31,6.95,1.00,3.65
1899.03,6.40,6.95,1.00,3.66
1899.04,6.48,7.04,1.00,3.67
1899.05,6.21,7.04,1.00,3.68
1899.06,6.07,7.14,1.00,3.69
1899.07,6.28,7.23,1.00,3.69
1899.08,6.44,7.33,1.00,3.70
1899.09,6.37,7.61,1.00,3.71
1899.1,6.34,7.71,1.00,3.72
1899.11,6.46,7.80,1.00,3.73
1899.12,6.02,7.90,1.00,3.74
1900.01,6.10,7.90,1.00,3.75
1900.02,6.21,7.99,1.00,3.76
1900.03,6.26,7.99,1.00,3.77
1900.04,6.34,7.99,1.00,3.78
1900.05,6.04,7.80,1.00,3.79
1900.06,5.86,7.71,1.00,3.80
1900.07,5.86,7.80,1.00,3.81
1900.08,5.94,7.71,1.00,3.83
1900.09,5.80,7.80,1.00,3.84
