Date,Real Total Stock Return,Real Total Bonds Return
1871.01,,
1871.02,-0.011781083,-0.025576314
1871.03,0.014230496,-0.010482812
1871.04,0.072025887,0.042221161
1871.05,0.053836458,0.027536685
1871.06,0.011919594,0.020005476
1871.07,-0.014177040,0.004191019
1871.08,0.033538329,0.020257381
1871.09,-0.008824594,-0.019337381
1871.1,-0.061831967,-0.011246416
1871.11,0.015613653,0.004202285
1871.12,0.003068675,-0.018450781
1872.01,0.029945499,0.004207918
1872.02,0.008688272,0.003060000
1872.03,0.022032032,-0.011780710
1872.04,0.009850828,-0.018717911
1872.05,0.004451416,0.003109341
1872.06,0.002115177,0.010449373
1872.07,0.013553496,0.018006687
1872.08,-0.014382455,-0.004219020
1872.09,-0.020267572,-0.004148837
1872.1,0.031571912,0.025655770
1872.11,-0.028068266,-0.025876425
1872.12,0.044432717,0.017980770
1873.01,0.012861604,0.003240857
1873.02,-0.009055683,-0.016349281
1873.03,-0.002791262,0.005339872
1873.04,-0.008643183,0.005332523
1873.05,0.029365979,0.027499752
1873.06,0.021376944,0.035781804
1873.07,0.003304886,0.005310476
1873.08,0.005365526,0.005303127
1873.09,-0.071051308,0.005295778
1873.1,-0.059880768,0.028665380
1873.11,0.001776586,0.037449803
1873.12,0.075066783,-0.018285542
1874.01,0.044208189,-0.010195909
1874.02,0.035944206,0.007109146
1874.03,-0.008854167,0.007085230
1874.04,-0.006387141,0.022793202
1874.05,-0.012391413,0.014968499
1874.06,0.025906272,0.031374866
1874.07,-0.001885052,-0.001067914
1874.08,0.016542069,0.015088137
1874.09,0.021812081,0.006941908
1874.1,0.020314704,0.023428358
1874.11,0.023282843,0.015210254
1874.12,-0.000547046,0.006870359
1875.01,0.006011380,0.006846526
1875.02,0.003762849,0.007343193
1875.03,0.019177704,0.007315568
1875.04,0.010535499,-0.000963200
1875.05,-0.008643919,0.032651545
1875.06,0.002584743,0.024446617
1875.07,0.008228691,0.007205217
1875.08,0.001882838,-0.001352257
1875.09,0.005253995,0.015752678
1875.1,-0.010202136,0.007122610
1875.11,0.030954847,0.015778741
1875.12,0.014468035,0.015826538
1876.01,0.035320442,0.015875670
1876.02,0.019058296,0.004753525
1876.03,0.003318584,0.004744303
1876.04,-0.023591287,0.013620781
1876.05,0.004449406,0.041596172
1876.06,0.027077762,0.033157950
1876.07,-0.006024096,0.004707415
1876.08,-0.044382991,-0.004693450
1876.09,-0.063461881,-0.004615607
1876.1,-0.016847497,-0.013583193
1876.11,-0.021161967,-0.004382426
1876.12,-0.016338413,-0.013123918
1877.01,-0.018970300,-0.012816299
1877.02,-0.027165914,0.031345131
1877.03,0.000570590,0.051373147
1877.04,-0.091114358,-0.022963560
1877.05,-0.010784283,-0.013519212
1877.06,-0.011526855,0.061270606
1877.07,0.041327946,-0.004983017
1877.08,0.118621470,0.043404097
1877.09,0.078712809,0.014240270
1877.1,0.026962449,0.004383916
1877.11,0.009703171,0.024459676
1877.12,0.001789366,0.004369263
1878.01,0.035935702,0.035431220
1878.02,-0.006474285,0.014877682
1878.03,0.045568567,0.025788725
1878.04,0.043685078,0.015208144
1878.05,0.041238533,0.037875243
1878.06,0.048877163,0.027211853
1878.07,0.013519523,-0.006896030
1878.08,-0.015297720,-0.006788063
1878.09,0.024698068,0.004366010
1878.1,0.004096927,0.015645348
1878.11,0.012828744,0.015755766
1878.12,0.021786209,0.027703784
1879.01,0.030089771,-0.007212266
1879.02,0.028752439,-0.006554917
1879.03,-0.000658612,0.016405907
1879.04,0.049201535,0.016527273
1879.05,0.049255084,0.004827808
1879.06,0.020964865,0.016634734
1879.07,0.012327968,-0.006880068
1879.08,0.011412954,0.004789289
1879.09,0.005765486,-0.029089934
